#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      2.64e+01    2.54e+01      6.74e-01    6.68e-01      8.35e-01    8.02e-01    1.0e-03
    100      1.34e+01    1.35e+01      9.05e-02    8.93e-02      4.23e-01    4.28e-01    1.0e-03
    200      6.79e+00    6.41e+00      4.66e-02    4.26e-02      2.15e-01    2.03e-01    1.0e-03
    300      5.81e+00    5.23e+00      5.13e-02    3.44e-02      1.84e-01    1.65e-01    1.0e-03
    400      6.86e+00    6.47e+00      7.51e-02    7.80e-02      2.17e-01    2.04e-01    1.0e-03
    500      5.70e+00    5.44e+00      7.62e-02    6.29e-02      1.80e-01    1.72e-01    1.0e-03
    600      5.03e+00    4.48e+00      7.44e-02    7.21e-02      1.59e-01    1.42e-01    1.0e-03
    700      4.92e+00    5.01e+00      1.74e-02    1.77e-02      1.55e-01    1.58e-01    1.0e-03
    800      4.57e+00    4.51e+00      2.72e-02    2.66e-02      1.44e-01    1.43e-01    1.0e-03
    900      4.46e+00    4.84e+00      1.48e-02    1.78e-02      1.41e-01    1.53e-01    1.0e-03
   1000      4.40e+00    4.48e+00      7.88e-03    2.64e-03      1.39e-01    1.42e-01    1.0e-03
   1100      4.02e+00    3.75e+00      7.12e-03    8.94e-03      1.27e-01    1.18e-01    1.0e-03
   1200      3.89e+00    5.55e+00      1.47e-02    6.84e-03      1.23e-01    1.75e-01    1.0e-03
   1300      4.17e+00    4.27e+00      4.44e-02    3.96e-02      1.32e-01    1.35e-01    1.0e-03
   1400      3.79e+00    3.34e+00      4.39e-02    4.97e-02      1.20e-01    1.05e-01    1.0e-03
   1500      3.51e+00    3.54e+00      4.15e-02    3.26e-02      1.11e-01    1.12e-01    1.0e-03
   1600      3.52e+00    3.57e+00      9.29e-03    4.03e-03      1.11e-01    1.13e-01    1.0e-03
   1700      3.75e+00    3.68e+00      4.94e-02    5.22e-02      1.19e-01    1.16e-01    1.0e-03
   1800      3.20e+00    2.98e+00      1.25e-02    3.86e-03      1.01e-01    9.42e-02    1.0e-03
   1900      3.60e+00    3.52e+00      1.97e-02    1.51e-02      1.14e-01    1.11e-01    1.0e-03
   2000      3.06e+00    3.16e+00      4.15e-02    2.80e-02      9.66e-02    1.00e-01    1.0e-03
   2100      3.15e+00    3.10e+00      3.61e-02    3.96e-02      9.97e-02    9.79e-02    1.0e-03
   2200      3.19e+00    3.20e+00      1.16e-01    1.20e-01      1.01e-01    1.01e-01    1.0e-03
   2300      3.21e+00    3.09e+00      1.62e-02    2.01e-02      1.01e-01    9.76e-02    1.0e-03
   2400      3.33e+00    3.40e+00      1.62e-02    1.10e-02      1.05e-01    1.07e-01    1.0e-03
   2500      3.02e+00    2.83e+00      3.40e-02    2.61e-02      9.56e-02    8.95e-02    1.0e-03
   2600      3.62e+00    3.71e+00      3.10e-02    2.68e-02      1.14e-01    1.17e-01    1.0e-03
   2700      3.79e+00    3.74e+00      1.52e-02    1.41e-02      1.20e-01    1.18e-01    1.0e-03
   2800      3.00e+00    2.94e+00      6.43e-02    6.74e-02      9.47e-02    9.30e-02    1.0e-03
   2900      2.96e+00    2.87e+00      1.29e-02    4.71e-03      9.36e-02    9.06e-02    1.0e-03
   3000      3.24e+00    3.19e+00      1.79e-02    2.17e-02      1.02e-01    1.01e-01    1.0e-03
   3100      4.54e+00    4.25e+00      4.99e-02    4.59e-02      1.44e-01    1.34e-01    1.0e-03
   3200      3.01e+00    2.78e+00      5.68e-02    5.84e-02      9.51e-02    8.78e-02    1.0e-03
   3300      2.88e+00    3.03e+00      2.00e-02    1.12e-02      9.11e-02    9.58e-02    1.0e-03
   3400      3.52e+00    3.90e+00      3.28e-02    4.42e-02      1.11e-01    1.23e-01    1.0e-03
   3500      3.03e+00    3.55e+00      1.97e-02    2.05e-02      9.59e-02    1.12e-01    1.0e-03
   3600      3.20e+00    3.23e+00      2.73e-02    2.28e-02      1.01e-01    1.02e-01    1.0e-03
   3700      3.12e+00    2.86e+00      2.93e-02    1.79e-02      9.86e-02    9.05e-02    1.0e-03
   3800      2.85e+00    2.88e+00      3.68e-02    3.94e-02      9.00e-02    9.11e-02    1.0e-03
   3900      2.84e+00    2.97e+00      5.55e-02    4.77e-02      8.97e-02    9.39e-02    1.0e-03
   4000      3.23e+00    3.14e+00      2.84e-02    2.88e-02      1.02e-01    9.92e-02    1.0e-03
   4100      2.77e+00    2.89e+00      6.63e-02    6.37e-02      8.76e-02    9.14e-02    1.0e-03
   4200      2.80e+00    2.93e+00      4.89e-02    3.71e-02      8.86e-02    9.28e-02    1.0e-03
   4300      2.72e+00    2.76e+00      4.54e-02    5.46e-02      8.59e-02    8.74e-02    1.0e-03
   4400      2.75e+00    3.22e+00      7.39e-02    8.55e-02      8.69e-02    1.02e-01    1.0e-03
   4500      2.73e+00    3.03e+00      3.23e-02    3.06e-02      8.63e-02    9.57e-02    1.0e-03
   4600      3.25e+00    3.64e+00      8.12e-03    7.17e-04      1.03e-01    1.15e-01    1.0e-03
   4700      2.74e+00    2.73e+00      7.43e-03    2.14e-02      8.67e-02    8.63e-02    1.0e-03
